WaterYear,Flow_max,Flow_min,EWRProportion_max,EWRProportion_min,HeadTurbine1_max,HeadTurbine1_min,PowerTurbine1_max,LevelTailwater_max,LevelTailwater_min,Power_max,Power_min,Energy,CapFactor,Prop4Units,Prop3Units,Prop2Units,Prop1Units,Prop0Units,Days0Units,Exceedance
1980,3452.248381930785,283.6079686159883,0.4750071465933458,0.06091342144942676,19.718124905213028,18.063098006885255,47.37516750892597,970,970,179.02481010326932,26.328524220910936,911364.9867805478,0.5779838830419506,0.3589041095890411,0.1232876712328767,0.2493150684931507,0.2684931506849315,0.0,0,0.30000000000000004
1981,1436.9972565708524,243.27968621428658,0.4850384421166294,0.08730297922680243,19.786937825003733,18.068946964515547,47.63393986200699,970,970,180.73696226308337,21.46551833701985,683852.0769541805,0.43369614215764873,0.1780821917808219,0.14794520547945206,0.2958904109589041,0.3780821917808219,0.0,0,0.9
1982,1117.0362502238706,222.2828362851385,0.4995886136944385,0.11399921044365778,19.802329736962776,18.61190358108464,47.60575138742672,970,970,166.18300562613595,20.044544776784985,724635.2529453965,0.4595606627000231,0.19452054794520549,0.2,0.2356164383561644,0.3698630136986301,0.0,0,0.8500000000000001
1983,1807.794012387604,212.05144921368182,0.4574361569312088,0.07159944787520144,19.81063608365019,18.063098006885255,46.975496638724024,970,970,180.73696226308337,19.519728140336973,709506.7699222575,0.4499662417061501,0.2273972602739726,0.1178082191780822,0.23013698630136986,0.4273972602739726,0.0,0,0.9
1984,1952.5344676593647,199.0925590239552,0.5335225197244101,0.07722243837734956,19.82248748488416,18.063098006885255,47.60575138742672,970,970,179.4019252810709,18.006687281941286,762439.8090174879,0.4835361548817148,0.26575342465753427,0.14520547945205478,0.2,0.38904109589041097,0.0,0,0.8
1985,3049.547329305057,201.17011281861926,0.5259170804891159,0.05111454946408335,19.832421655737946,18.063098006885255,47.639399178298255,970,970,179.0340617313721,17.316061872748804,708668.5235542076,0.44943462934691,0.24383561643835616,0.10684931506849316,0.2136986301369863,0.43561643835616437,0.0,0,0.9
1986,2076.7821263719575,239.64129376144416,0.512727565590965,0.07327329853929335,19.794929751847032,18.063098006885255,47.60575138742672,970,970,179.0892341523538,20.621404751786454,821284.3281542602,0.5208551041059488,0.27671232876712326,0.15616438356164383,0.26575342465753427,0.3013698630136986,0.0,0,0.6000000000000001
1987,2467.4434971899177,224.67104686473823,0.512727565590965,0.061384095820668026,19.805818805841245,18.063098006885255,47.639399178298255,970,970,179.24034352151756,19.74017224179391,766692.2736645059,0.48623305026921987,0.30684931506849317,0.07123287671232877,0.2136986301369863,0.410958904109589,0.0,0,0.8
1988,3811.676948218156,209.2745177174335,0.5106163793792917,0.06285758612728656,19.816353778321854,18.063098006885255,47.74268751121169,970,970,180.368942395693,18.85765539175134,887901.1191781897,0.5631031958258432,0.39452054794520547,0.07123287671232877,0.19452054794520549,0.33972602739726027,0.0,0,0.35000000000000003
1989,1027.8009259147987,212.05144921368182,0.4487829919628007,0.11369383166460473,19.79825332411378,18.793308442094396,47.60575138742672,970,970,150.3405892858769,20.52485610603785,636815.3329937485,0.40386563482607085,0.06301369863013699,0.3178082191780822,0.1726027397260274,0.4465753424657534,0.0,0,0.9500000000000001
1990,2293.9632006513275,199.0925590239552,0.487210574194934,0.07722243837734956,19.836392137452425,18.063098006885255,47.60575138742672,970,970,179.31066389508962,16.974110380595665,735189.530966226,0.4662541419116096,0.29315068493150687,0.07397260273972603,0.16164383561643836,0.4712328767123288,0.0,0,0.8500000000000001
1991,905.4211927358452,175.04384955453037,0.41132550605595697,0.11800086178460895,19.83628616138956,18.87884370444195,47.43527441315903,970,970,136.21670906983292,17.13218229263941,569051.4097986489,0.36089003665566266,0.0,0.2684931506849315,0.27123287671232876,0.46301369863013697,0.0,0,1.0
1992,3573.2680912123824,163.87541321774722,0.4565834705329932,0.059487327941103986,19.8228030138922,18.063098006885255,47.60575138742672,970,970,179.24034352151756,18.151341886039024,740577.8726963783,0.4696714058196209,0.2821917808219178,0.0958904109589041,0.16712328767123288,0.4547945205479452,0.0,0,0.8500000000000001
1993,1839.4149794968628,155.86976452715123,0.4630204047405221,0.08077296967852735,19.868712942028235,18.063098006885255,47.562741980337975,970,970,179.15545555180424,13.6532062843876,618029.795068121,0.3919519248275755,0.2,0.0958904109589041,0.1506849315068493,0.5534246575342465,0.0,0,1.0
1994,1231.9889272331854,132.8891725892938,0.5418048633843378,0.1009435991550382,19.900411838074746,18.199972429143557,47.77571670561919,970,970,179.8870933761329,9.129192486892293,475413.1213312103,0.30150502367529824,0.11232876712328767,0.0684931506849315,0.1643835616438356,0.6547945205479452,0.0,0,1.0
1995,819.2739407352476,114.99803130518691,0.5323460868974058,0.15257411933280854,19.9012210072009,19.1186916257743,47.57833638610301,970,970,120.02356103701892,9.563832468270569,406078.8420901111,0.25753351223370824,0.0,0.13972602739726028,0.26301369863013696,0.6,0.0,0,1.0
1996,1399.6225280663384,102.69188909931223,0.4965815093576722,0.09034545770358113,19.91367485232329,18.105218203383128,47.60575138742672,970,970,179.8870933761329,7.608974811624223,646066.2818146258,0.4097325480813203,0.21643835616438356,0.13424657534246576,0.13972602739726028,0.5095890410958904,0.0,0,0.9500000000000001
1997,3524.628422363977,156.55090676315066,0.5627652120752787,0.05340255853858957,19.852844186209854,18.063098006885255,47.83154600315836,970,970,178.92738691692372,15.083951222983803,798848.9458394677,0.5066266779803829,0.33972602739726027,0.0821917808219178,0.16164383561643836,0.41643835616438357,0.0,0,0.65
1998,3420.728127398308,173.8393553723827,0.5616451299153826,0.06343678653148123,19.841144237698227,18.063098006885255,47.804470103547494,970,970,179.37927252555485,16.769766750532135,802788.0311290292,0.509124829483149,0.336986301369863,0.0821917808219178,0.1643835616438356,0.41643835616438357,0.0,0,0.65
1999,3411.254881154899,193.63700368409016,0.4699514982604374,0.046898694988634436,19.835698399906303,18.063098006885255,46.840869293409966,970,970,178.84170022130783,17.064034023630775,732265.5488043735,0.46439976458927795,0.26575342465753427,0.09041095890410959,0.21095890410958903,0.43561643835616437,0.0,0,0.8500000000000001
2000,3676.580923365921,140.01135876889322,0.491602748516731,0.06260931471784033,19.86273579554561,18.063098006885255,47.81247050338686,970,970,179.82504146434607,14.648591783310295,850796.3521796988,0.5395715069632793,0.37534246575342467,0.08767123287671233,0.15342465753424658,0.3835616438356164,0.0,0,0.5
2001,2029.000290301854,195.0615901578589,0.5288728309925945,0.0766337568277784,19.843729158962677,18.063098006885255,47.804470103547494,970,970,178.8453635446649,16.12668618237344,785704.1092247469,0.4982902772861155,0.2958904109589041,0.0958904109589041,0.24383561643835616,0.3643835616438356,0.0,0,0.7000000000000001
2002,3846.3561435461793,193.63700368409016,0.521612128558988,0.04248624536401992,19.844054187871283,18.063098006885255,47.76957869031241,970,970,179.33261625475131,16.09620598129185,834571.1492450191,0.5292815507642181,0.36712328767123287,0.0821917808219178,0.14794520547945206,0.40273972602739727,0.0,0,0.55
